Date,Hour,Water.lever,X
1/11/2008,22,926,928
1/12/2008,1,938,NA
1/12/2008,4,959,NA
1/12/2008,7,953,NA
1/12/2008,10,946,NA
1/12/2008,13,939,NA
1/12/2008,16,931,NA
1/12/2008,19,924,NA
1/12/2008,22,929,940
1/13/2008,1,946,NA
1/13/2008,4,965,NA
1/13/2008,7,944,NA
1/13/2008,10,937,NA
1/13/2008,13,930,NA
1/13/2008,16,923,NA
1/13/2008,19,916,NA
1/13/2008,22,925,936
1/14/2008,1,932,NA
1/14/2008,4,936,NA
1/14/2008,7,929,NA
1/14/2008,10,925,NA
1/14/2008,13,920,NA
1/14/2008,16,926,NA
1/14/2008,19,930,NA
1/14/2008,22,932,929
1/15/2008,1,936,NA
1/15/2008,4,954,NA
1/15/2008,7,945,NA
1/15/2008,10,937,NA
1/15/2008,13,925,NA
1/15/2008,16,929,NA
1/15/2008,19,932,NA
1/15/2008,22,935,937
1/16/2008,1,951,NA
1/16/2008,4,969,NA
1/16/2008,7,962,NA
1/16/2008,10,940,NA
1/16/2008,13,917,NA
1/16/2008,16,924,NA
1/16/2008,19,935,NA
1/16/2008,22,944,943
1/17/2008,1,963,NA
1/17/2008,4,969,NA
1/17/2008,7,960,NA
1/17/2008,10,944,NA
1/17/2008,13,925,NA
1/17/2008,16,956,NA
1/17/2008,19,1004,NA
1/17/2008,22,1074,NA
1/18/2008,1,1109,NA
1/18/2008,4,1120,NA
1/18/2008,7,1112,NA
1/18/2008,10,1094,NA
1/18/2008,13,1083,NA
1/18/2008,16,1100.5,NA
1/18/2008,19,1119,NA
1/18/2008,22,1132,NA
1/19/2008,1,1145,NA
1/19/2008,4,1142.5,NA
1/19/2008,7,1121,NA
1/19/2008,10,1107,NA
1/19/2008,13,1103,NA
1/19/2008,16,1117,NA
1/19/2008,19,1136,NA
1/19/2008,22,1144,NA
1/20/2008,1,1152,NA
1/20/2008,4,1160.5,NA
1/20/2008,7,1155,NA
1/20/2008,10,1147,NA
1/20/2008,13,1141,NA
1/20/2008,16,1158,NA
1/20/2008,19,1164,NA
1/20/2008,22,1167.5,NA
1/21/2008,1,1161,NA
1/21/2008,4,1148,NA
1/21/2008,7,1135,NA
1/21/2008,10,1117.5,NA
1/21/2008,13,1106,NA
1/21/2008,16,1097,NA
1/21/2008,19,1090,NA
1/21/2008,22,1086,NA
1/22/2008,1,1083,NA
1/22/2008,4,1078,NA
1/22/2008,7,1068,NA
1/22/2008,10,1059,NA
1/22/2008,13,1051,NA
1/22/2008,16,1050.5,NA
1/22/2008,19,1071,NA
1/22/2008,22,1078,NA
1/23/2008,1,1083,NA
1/23/2008,4,1072,NA
1/23/2008,7,1057,NA
1/23/2008,10,1041,NA
1/23/2008,13,1025,NA
1/23/2008,16,1021,NA
1/23/2008,19,1030,NA
1/23/2008,22,1036,1046
1/24/2008,1,1040,NA
1/24/2008,4,1035,NA
1/24/2008,7,1027,NA
1/24/2008,10,1011,NA
1/24/2008,13,976,NA
1/24/2008,16,1005.5,NA
1/24/2008,19,1038,NA
1/24/2008,22,1066,NA
1/25/2008,1,1081,NA
1/25/2008,4,1073,NA
1/25/2008,7,1063,NA
1/25/2008,10,1042,NA
1/25/2008,13,1014,NA
1/25/2008,16,1011.5,NA
1/25/2008,19,1058,NA
1/25/2008,22,1086,NA
1/26/2008,1,1111,NA
1/26/2008,4,1136.5,NA
1/26/2008,7,1137,NA
1/26/2008,10,1137.5,NA
1/26/2008,13,1141,NA
1/26/2008,16,1150,NA
1/26/2008,19,1164,NA
1/26/2008,22,1171,NA
1/27/2008,1,1182,NA
1/27/2008,4,1169.5,NA
1/27/2008,7,1151,NA
1/27/2008,10,1130,NA
1/27/2008,13,1118,NA
1/27/2008,16,1107.5,NA
1/27/2008,19,1101,NA
1/27/2008,22,1081,NA
1/28/2008,1,1057,NA
1/28/2008,4,1026,NA
1/28/2008,7,995,NA
1/28/2008,10,947,NA
1/28/2008,13,923,NA
1/28/2008,16,916.5,NA
1/28/2008,19,928,NA
1/28/2008,22,955,NA
1/29/2008,1,969,NA
1/29/2008,4,970,NA
1/29/2008,7,953,NA
1/29/2008,10,936,NA
1/29/2008,13,926,NA
1/29/2008,16,917.5,NA
1/29/2008,19,911,NA
1/29/2008,22,916,NA
1/30/2008,1,950,NA
1/30/2008,4,946,NA
1/30/2008,7,940,NA
1/30/2008,10,926,NA
1/30/2008,13,905,NA
1/30/2008,16,900,NA
1/30/2008,19,897,NA
1/30/2008,22,901,921
1/31/2008,1,908,NA
1/31/2008,4,934,NA
1/31/2008,7,923,NA
1/31/2008,10,919,NA
1/31/2008,13,913,NA
1/31/2008,16,898,NA
1/31/2008,19,891,NA
1/31/2008,22,896,910
2/1/2008,1,904,NA
2/1/2008,4,944.5,NA
2/1/2008,7,1042,NA
2/1/2008,10,1080,NA
2/1/2008,13,1070.333333,NA
2/1/2008,16,1067,NA
2/1/2008,19,1064.666667,NA
2/1/2008,22,1070.5,NA
2/2/2008,1,1082,NA
2/2/2008,4,1099,NA
2/2/2008,7,1119,NA
2/2/2008,10,1108.5,NA
2/2/2008,13,1099,NA
2/2/2008,16,1099.5,NA
2/2/2008,19,1128,NA
2/2/2008,22,1148,NA
2/3/2008,1,1154,NA
2/3/2008,4,1153.5,NA
2/3/2008,7,1140,NA
2/3/2008,10,1136,NA
2/3/2008,13,1142,NA
2/3/2008,16,1157.5,NA
2/3/2008,19,1172,NA
2/3/2008,22,1182.5,NA
2/4/2008,1,1193,NA
2/4/2008,4,1191.5,NA
2/4/2008,7,1170,NA
2/4/2008,10,1144.5,NA
2/4/2008,13,1120,NA
2/4/2008,16,1124,NA
2/4/2008,19,1146,NA
2/4/2008,22,1155,NA
2/5/2008,1,1157,NA
2/5/2008,4,1141,NA
2/5/2008,7,1113,NA
2/5/2008,10,1081,NA
2/5/2008,13,1054,NA
2/5/2008,16,1051,NA
2/5/2008,19,1069,NA
2/5/2008,22,1076.5,NA
2/6/2008,1,1081,NA
2/6/2008,4,1081.5,NA
2/6/2008,7,1075,NA
2/6/2008,10,1042.5,NA
2/6/2008,13,1010,NA
2/6/2008,16,988.5,NA
2/6/2008,19,962,NA
2/6/2008,22,958.5,NA
2/7/2008,1,978,NA
2/7/2008,4,998.5,NA
2/7/2008,7,1018,NA
2/7/2008,10,983,NA
2/7/2008,13,948,NA
2/7/2008,16,911.5,NA
2/7/2008,19,887,NA
2/7/2008,22,885,NA
2/8/2008,1,888,NA
NA,4,888.5,NA
2/8/2008,7,889,NA
NA,10,884.5,NA
2/8/2008,13,880,NA
NA,16,869.5,NA
2/8/2008,19,859,879
NA,22,870,NA
2/9/2008,1,881,NA
2/9/2008,4,936,NA
2/9/2008,7,939,NA
2/9/2008,10,911.5,NA
2/9/2008,13,884,NA
2/9/2008,16,860.5,NA
2/9/2008,19,848,NA
2/9/2008,22,873.5,NA
2/10/2008,1,922,NA
2/10/2008,4,914,NA
2/10/2008,7,910,NA
2/10/2008,10,887,NA
2/10/2008,13,860,NA
2/10/2008,16,854,NA
2/10/2008,19,849,NA
2/10/2008,22,857,882
2/11/2008,1,865,NA
2/11/2008,4,898,NA
2/11/2008,7,908,NA
2/11/2008,10,904,NA
2/11/2008,13,901,NA
2/11/2008,16,888,NA
2/11/2008,19,878,NA
2/11/2008,22,862,888
2/12/2008,1,863,NA
2/12/2008,4,886,NA
2/12/2008,7,904,NA
2/12/2008,10,884,NA
2/12/2008,13,861,NA
2/12/2008,16,857,NA
2/12/2008,19,850,NA
2/12/2008,22,855,870
2/13/2008,1,869,NA
2/13/2008,4,917,NA
2/13/2008,7,930,NA
2/13/2008,10,900.5,NA
2/13/2008,13,875,NA
2/13/2008,16,868.5,NA
2/13/2008,19,863,NA
2/13/2008,22,879.5,NA
2/14/2008,1,898,NA
2/14/2008,4,913.5,NA
2/14/2008,7,936,NA
2/14/2008,10,912,NA
2/14/2008,13,879,NA
2/14/2008,16,869,NA
2/14/2008,19,887,NA
2/14/2008,22,907.5,NA
2/15/2008,1,925,NA
2/15/2008,4,941.5,NA
2/15/2008,7,937,NA
2/15/2008,10,918,NA
2/15/2008,13,895,NA
2/15/2008,16,874,NA
2/15/2008,19,887,NA
2/15/2008,22,902.5,NA
2/16/2008,1,930,NA
2/16/2008,4,945.5,NA
2/16/2008,7,932,NA
2/16/2008,10,897.5,NA
2/16/2008,13,865,NA
2/16/2008,16,857.5,NA
2/16/2008,19,886,NA
2/16/2008,22,919,NA
2/17/2008,1,941,NA
2/17/2008,4,951,NA
2/17/2008,7,940,NA
2/17/2008,10,901.5,NA
2/17/2008,13,863,NA
2/17/2008,16,849.5,NA
2/17/2008,19,852,NA
2/17/2008,22,874,NA
2/18/2008,1,898,NA
2/18/2008,4,922.5,NA
2/18/2008,7,940,NA
2/18/2008,10,911.5,NA
2/18/2008,13,874,NA
2/18/2008,16,875.5,NA
2/18/2008,19,910,NA
2/18/2008,22,942,NA
2/19/2008,1,967,NA
2/19/2008,4,965.5,NA
2/19/2008,7,940,NA
2/19/2008,10,906,NA
2/19/2008,13,873,NA
2/19/2008,16,900.5,NA
2/19/2008,19,964,NA
2/19/2008,22,995,NA
2/20/2008,1,1002,NA
2/20/2008,4,992.5,NA
2/20/2008,7,975,NA
2/20/2008,10,954.5,NA
2/20/2008,13,936,NA
2/20/2008,16,954.5,NA
2/20/2008,19,987,NA
2/20/2008,22,1010,NA
2/21/2008,1,1022,NA
2/21/2008,4,1006.5,NA
2/21/2008,7,981,NA
2/21/2008,10,949.5,NA
2/21/2008,13,911,NA
2/21/2008,16,923,NA
2/21/2008,19,955,NA
2/21/2008,22,969,NA
2/22/2008,1,976,NA
2/22/2008,4,964.5,NA
2/22/2008,7,945,NA
2/22/2008,10,911,NA
2/22/2008,13,876,NA
2/22/2008,16,882.5,NA
2/22/2008,19,901,NA
2/22/2008,22,914.5,NA
2/23/2008,1,923,NA
2/23/2008,4,921,NA
2/23/2008,7,897,NA
2/23/2008,10,876.5,NA
2/23/2008,13,859,NA
2/23/2008,16,854,NA
2/23/2008,19,876,NA
2/23/2008,22,894,NA
2/24/2008,1,919,NA
2/24/2008,4,914.5,NA
2/24/2008,7,899,NA
2/24/2008,10,886.5,NA
2/24/2008,13,873,NA
2/24/2008,16,867.5,NA
2/24/2008,19,878,NA
2/24/2008,22,887.5,NA
2/25/2008,1,898,NA
2/25/2008,4,914,NA
2/25/2008,7,909,NA
2/25/2008,10,876.5,NA
2/25/2008,13,868,NA
2/25/2008,16,858.5,NA
2/25/2008,19,875,NA
2/25/2008,22,896,NA
2/26/2008,1,921,NA
2/26/2008,4,909.5,NA
2/26/2008,7,901,NA
2/26/2008,10,878,NA
2/26/2008,13,873,NA
2/26/2008,16,889.5,NA
2/26/2008,19,903,NA
2/26/2008,22,920.5,NA
2/27/2008,1,952,NA
2/27/2008,4,998,NA
2/27/2008,7,1082.666667,NA
2/27/2008,10,1114.333333,NA
2/27/2008,13,1116.333333,NA
2/27/2008,16,1117.666667,NA
2/27/2008,19,1125.333333,NA
2/27/2008,22,1138.75,NA
2/28/2008,1,1149,NA
2/28/2008,4,1157.5,NA
2/28/2008,7,1155,NA
2/28/2008,10,1139.5,NA
2/28/2008,13,1134,NA
2/28/2008,16,1145.5,NA
2/28/2008,19,1156,NA
2/28/2008,22,1150.5,NA
2/29/2008,1,1139,NA
2/29/2008,4,1125.5,NA
2/29/2008,7,1108,NA
2/29/2008,10,1081,NA
2/29/2008,13,1050,NA
2/29/2008,16,1048,NA
2/29/2008,19,1068,NA
2/29/2008,22,1085.5,NA
3/1/2008,1,1095,NA
3/1/2008,4,1071.5,NA
3/1/2008,7,1049,NA
3/1/2008,10,1022.5,NA
3/1/2008,13,994,NA
3/1/2008,16,977,NA
3/1/2008,19,983,NA
3/1/2008,22,1006.5,NA
3/2/2008,1,1037,NA
3/2/2008,4,1051.5,NA
3/2/2008,7,1068,NA
3/2/2008,10,1073.5,NA
3/2/2008,13,1073,NA
3/2/2008,16,1078,NA
3/2/2008,19,1088,NA
3/2/2008,22,1100.5,NA
3/3/2008,1,1110,NA
3/3/2008,4,1118,NA
3/3/2008,7,1116,NA
3/3/2008,10,1110.5,NA
3/3/2008,13,1104,NA
3/3/2008,16,1117.5,NA
3/3/2008,19,1140,NA
3/3/2008,22,1157,NA
3/4/2008,1,1167,NA
3/4/2008,4,1155,NA
3/4/2008,7,1130,NA
3/4/2008,10,1119,NA
3/4/2008,13,1106,NA
3/4/2008,16,1134.5,NA
3/4/2008,19,1151,NA
3/4/2008,22,1156.5,NA
3/5/2008,1,1154,NA
3/5/2008,4,1132.5,NA
3/5/2008,7,1111,NA
3/5/2008,10,1078,NA
3/5/2008,13,1054,NA
3/5/2008,16,1053.5,NA
3/5/2008,19,1066,NA
3/5/2008,22,1081,NA
3/6/2008,1,1102,NA
3/6/2008,4,1053,NA
3/6/2008,7,1000,NA
3/6/2008,10,979.5,NA
3/6/2008,13,973,NA
3/6/2008,16,968.5,NA
3/6/2008,19,963,NA
3/6/2008,22,968,NA
3/7/2008,1,978,NA
3/7/2008,4,968.5,NA
3/7/2008,7,957,NA
3/7/2008,10,944.5,NA
3/7/2008,13,924,NA
3/7/2008,16,907,NA
3/7/2008,19,887,NA
3/7/2008,22,884,NA
3/8/2008,1,891,NA
3/8/2008,4,887.5,NA
3/8/2008,7,884,NA
3/8/2008,10,875,NA
3/8/2008,13,865,NA
3/8/2008,16,862,NA
3/8/2008,19,860,NA
3/8/2008,22,865.5,NA
3/9/2008,1,872,NA
3/9/2008,4,883.5,NA
3/9/2008,7,890,NA
3/9/2008,10,893.5,NA
3/9/2008,13,887,NA
3/9/2008,16,882.5,NA
3/9/2008,19,876,NA
3/9/2008,22,871,NA
3/10/2008,1,877,NA
3/10/2008,4,882,NA
3/10/2008,7,878,NA
3/10/2008,10,868.5,NA
3/10/2008,13,861,NA
3/10/2008,16,855,NA
3/10/2008,19,850,NA
3/10/2008,22,847.5,NA
3/11/2008,1,857,NA
3/11/2008,4,880,NA
3/11/2008,7,884,NA
3/11/2008,10,878,NA
3/11/2008,13,871,NA
3/11/2008,16,866,NA
3/11/2008,19,874,NA
3/11/2008,22,887.5,NA
3/12/2008,1,897,NA
3/12/2008,4,909.5,NA
3/12/2008,7,904,NA
3/12/2008,10,887.5,NA
3/12/2008,13,872,NA
3/12/2008,16,864.5,NA
3/12/2008,19,864,NA
3/12/2008,22,872.5,NA
3/13/2008,1,883,NA
3/13/2008,4,895,NA
3/13/2008,7,892,NA
3/13/2008,10,879,NA
3/13/2008,13,862,NA
3/13/2008,16,868,NA
3/13/2008,19,881,NA
3/13/2008,22,889,881
3/14/2008,1,896,NA
3/14/2008,4,907,NA
3/14/2008,7,904,NA
3/14/2008,10,893,NA
3/14/2008,13,879,NA
3/14/2008,16,890,NA
3/14/2008,19,907,NA
3/14/2008,22,922,900
3/15/2008,1,935,NA
3/15/2008,4,949.5,NA
3/15/2008,7,939,NA
3/15/2008,10,910,NA
3/15/2008,13,883,NA
3/15/2008,16,918.5,NA
3/15/2008,19,958,NA
3/15/2008,22,983,NA
3/16/2008,1,1003,NA
3/16/2008,4,1013.5,NA
3/16/2008,7,1010,NA
3/16/2008,10,987,NA
3/16/2008,13,964,NA
3/16/2008,16,990.5,NA
3/16/2008,19,1020,NA
3/16/2008,22,1042.5,NA
3/17/2008,1,1055,NA
3/17/2008,4,1045.5,NA
3/17/2008,7,1024,NA
3/17/2008,10,988.5,NA
3/17/2008,13,959,NA
3/17/2008,16,957,NA
3/17/2008,19,1001,NA
3/17/2008,22,1034,NA
3/18/2008,1,1058,NA
3/18/2008,4,1041.5,NA
3/18/2008,7,1006,NA
3/18/2008,10,974,NA
3/18/2008,13,954,NA
3/18/2008,16,968,NA
3/18/2008,19,982,NA
3/18/2008,22,998.5,NA
3/19/2008,1,1020,NA
3/19/2008,4,995,NA
3/19/2008,7,970,NA
3/19/2008,10,951.5,NA
3/19/2008,13,937,NA
3/19/2008,16,940.5,NA
3/19/2008,19,943,NA
3/19/2008,22,954,NA
3/20/2008,1,965,NA
3/20/2008,4,968.5,NA
3/20/2008,7,962,NA
3/20/2008,10,951,NA
3/20/2008,13,935,NA
3/20/2008,16,934.5,NA
3/20/2008,19,949,NA
3/20/2008,22,962.5,NA
3/21/2008,1,977,NA
3/21/2008,4,1006,NA
3/21/2008,7,991,NA
3/21/2008,10,966.5,NA
3/21/2008,13,941,NA
3/21/2008,16,934,NA
3/21/2008,19,940,NA
3/21/2008,22,955,NA
3/22/2008,1,968,NA
3/22/2008,4,990,NA
3/22/2008,7,977,NA
3/22/2008,10,955,NA
3/22/2008,13,942,NA
3/22/2008,16,942.5,NA
3/22/2008,19,960,NA
3/22/2008,22,973.5,NA
3/23/2008,1,991,NA
3/23/2008,4,1002,NA
3/23/2008,7,983,NA
3/23/2008,10,992.5,NA
3/23/2008,13,1010,NA
3/23/2008,16,999,NA
3/23/2008,19,1003,NA
3/23/2008,22,1009,NA
3/24/2008,1,1014,NA
3/24/2008,4,999,NA
3/24/2008,7,984,NA
3/24/2008,10,977.5,NA
3/24/2008,13,972,NA
3/24/2008,16,964.5,NA
3/24/2008,19,958,NA
3/24/2008,22,966,NA
3/25/2008,1,970,NA
3/25/2008,4,970.5,NA
3/25/2008,7,964,NA
3/25/2008,10,958.5,NA
3/25/2008,13,954,NA
3/25/2008,16,946,NA
3/25/2008,19,939,NA
3/25/2008,22,948.5,NA
3/26/2008,1,959,NA
3/26/2008,4,959.5,NA
3/26/2008,7,937,NA
3/26/2008,10,930,NA
3/26/2008,13,927,NA
3/26/2008,16,944.5,NA
3/26/2008,19,970,NA
3/26/2008,22,985,NA
3/27/2008,1,992,NA
3/27/2008,4,982,NA
3/27/2008,7,963,NA
3/27/2008,10,954,NA
3/27/2008,13,944,NA
3/27/2008,16,952,NA
3/27/2008,19,962,NA
3/27/2008,22,967.5,NA
3/28/2008,1,972,NA
3/28/2008,4,975.5,NA
3/28/2008,7,969,NA
3/28/2008,10,951.5,NA
3/28/2008,13,960,NA
3/28/2008,16,926.5,NA
3/28/2008,19,925,NA
3/28/2008,22,934,NA
3/29/2008,1,952,NA
3/29/2008,4,975,NA
3/29/2008,7,978,NA
3/29/2008,10,954.5,NA
3/29/2008,13,932,NA
3/29/2008,16,937,NA
3/29/2008,19,962,NA
3/29/2008,22,972.5,NA
3/30/2008,1,978,NA
3/30/2008,4,954.5,NA
3/30/2008,7,928,NA
3/30/2008,10,915,NA
3/30/2008,13,904,NA
3/30/2008,16,911,NA
3/30/2008,19,920,NA
3/30/2008,22,925.5,NA
3/31/2008,1,929,NA
3/31/2008,4,925,NA
3/31/2008,7,918,NA
3/31/2008,10,916,NA
3/31/2008,13,912,NA
3/31/2008,16,919,NA
3/31/2008,19,937,NA
3/31/2008,22,952,926
4/1/2008,1,963,NA
4/1/2008,4,966.5,NA
4/1/2008,7,954,NA
4/1/2008,10,939,NA
4/1/2008,13,926,NA
4/1/2008,16,919,NA
4/1/2008,19,924,NA
4/1/2008,22,934.5,NA
4/2/2008,1,947,NA
4/2/2008,4,956,NA
4/2/2008,7,952,NA
4/2/2008,10,944,NA
4/2/2008,13,934,NA
4/2/2008,16,931.5,NA
4/2/2008,19,941,NA
4/2/2008,22,945,NA
4/3/2008,1,950,NA
4/3/2008,4,955,NA
4/3/2008,7,960,NA
4/3/2008,10,960,NA
4/3/2008,13,948,NA
4/3/2008,16,961,NA
4/3/2008,19,983,NA
4/3/2008,22,999.5,NA
4/4/2008,1,1010,NA
4/4/2008,4,1008.5,NA
4/4/2008,7,991,NA
4/4/2008,10,971,NA
4/4/2008,13,955,NA
4/4/2008,16,954.5,NA
4/4/2008,19,966,NA
4/4/2008,22,987.5,NA
4/5/2008,1,1000,NA
4/5/2008,4,981.5,NA
4/5/2008,7,981,NA
4/5/2008,10,961,NA
4/5/2008,13,951,NA
4/5/2008,16,949.5,NA
4/5/2008,19,962,NA
4/5/2008,22,982.5,NA
4/6/2008,1,1003,NA
4/6/2008,4,1009.5,NA
4/6/2008,7,993,NA
4/6/2008,10,972.5,NA
4/6/2008,13,958,NA
4/6/2008,16,946.5,NA
4/6/2008,19,937,NA
4/6/2008,22,944.5,NA
4/7/2008,1,954,NA
4/7/2008,4,951,NA
4/7/2008,7,933,NA
4/7/2008,10,925.5,NA
4/7/2008,13,922,NA
4/7/2008,16,920,NA
4/7/2008,19,900,NA
4/7/2008,22,910,NA
4/8/2008,1,942,NA
4/8/2008,4,937.5,NA
4/8/2008,7,934,NA
4/8/2008,10,928.5,NA
4/8/2008,13,925,NA
4/8/2008,16,924,NA
4/8/2008,19,938,NA
4/8/2008,22,948,NA
4/9/2008,1,958,NA
4/9/2008,4,965,NA
4/9/2008,7,962,NA
4/9/2008,10,954,NA
4/9/2008,13,945,NA
4/9/2008,16,933,NA
4/9/2008,19,938,NA
4/9/2008,22,945.5,NA
4/10/2008,1,959,NA
4/10/2008,4,976.5,NA
4/10/2008,7,969,NA
4/10/2008,10,959,NA
4/10/2008,13,954,NA
4/10/2008,16,944.5,NA
4/10/2008,19,940,NA
4/10/2008,22,945,NA
4/11/2008,1,953,NA
4/11/2008,4,965.5,NA
4/11/2008,7,959,NA
4/11/2008,10,947,NA
4/11/2008,13,937,NA
4/11/2008,16,929,NA
4/11/2008,19,934,NA
4/11/2008,22,943.5,NA
4/12/2008,1,951,NA
4/12/2008,4,952,NA
4/12/2008,7,943,NA
4/12/2008,10,935,NA
4/12/2008,13,929,NA
4/12/2008,16,929.5,NA
4/12/2008,19,937,NA
4/12/2008,22,946.5,NA
4/13/2008,1,956,NA
4/13/2008,4,958,NA
4/13/2008,7,953,NA
4/13/2008,10,946.5,NA
4/13/2008,13,933,NA
4/13/2008,16,930,NA
4/13/2008,19,934,NA
4/13/2008,22,943.5,NA
4/14/2008,1,950,NA
4/14/2008,4,947.5,NA
4/14/2008,7,928,NA
4/14/2008,10,947.5,NA
4/14/2008,13,978,NA
4/14/2008,16,1015.5,NA
4/14/2008,19,1054,NA
4/14/2008,22,1076,NA
4/15/2008,1,1087,NA
4/15/2008,4,1095.5,NA
4/15/2008,7,1096,NA
4/15/2008,10,1072,NA
4/15/2008,13,1057,NA
4/15/2008,16,1033.5,NA
4/15/2008,19,1003,NA
4/15/2008,22,990,NA
4/16/2008,1,977,NA
4/16/2008,4,965.5,NA
4/16/2008,7,951,NA
4/16/2008,10,945.5,NA
4/16/2008,13,941,NA
4/16/2008,16,942.5,NA
4/16/2008,19,955,NA
4/16/2008,22,966.5,NA
4/17/2008,1,975,NA
4/17/2008,4,970.5,NA
4/17/2008,7,954,NA
4/17/2008,10,941.5,NA
4/17/2008,13,928,NA
4/17/2008,16,925.5,NA
4/17/2008,19,947,NA
4/17/2008,22,954,NA
4/18/2008,1,959,NA
4/18/2008,4,960,NA
4/18/2008,7,951,NA
4/18/2008,10,932,NA
4/18/2008,13,924,NA
4/18/2008,16,935.5,NA
4/18/2008,19,972,NA
4/18/2008,22,977,NA
4/19/2008,1,984,NA
4/19/2008,4,989,NA
4/19/2008,7,974,NA
4/19/2008,10,937,NA
4/19/2008,13,918,NA
4/19/2008,16,912,NA
4/19/2008,19,933,NA
4/19/2008,22,952.5,NA
4/20/2008,1,980,NA
4/20/2008,4,984,NA
4/20/2008,7,947,NA
4/20/2008,10,911,NA
4/20/2008,13,887,NA
4/20/2008,16,880,NA
4/20/2008,19,903,NA
4/20/2008,22,928.5,NA
4/21/2008,1,942,NA
4/21/2008,4,937,NA
4/21/2008,7,926,NA
4/21/2008,10,908,NA
4/21/2008,13,888,NA
4/21/2008,16,870,NA
4/21/2008,19,886,NA
4/21/2008,22,897,907
4/22/2008,1,912,NA
4/22/2008,4,934,NA
4/22/2008,7,937,NA
4/22/2008,10,925.5,NA
4/22/2008,13,916,NA
4/22/2008,16,902,NA
4/22/2008,19,902,NA
4/22/2008,22,914.5,NA
4/23/2008,1,932,NA
4/23/2008,4,935,NA
4/23/2008,7,929,NA
4/23/2008,10,903,NA
4/23/2008,13,878,NA
4/23/2008,16,871,NA
4/23/2008,19,882,NA
4/23/2008,22,898,904
4/24/2008,1,916,NA
4/24/2008,4,929,NA
4/24/2008,7,919,NA
4/24/2008,10,902,NA
4/24/2008,13,881,NA
4/24/2008,16,864,NA
4/24/2008,19,884,NA
4/24/2008,22,893,899
4/25/2008,1,916,NA
4/25/2008,4,938,NA
4/25/2008,7,925,NA
4/25/2008,10,906,NA
4/25/2008,13,883,NA
4/25/2008,16,879,NA
4/25/2008,19,880,NA
4/25/2008,22,889,902
4/26/2008,1,905,NA
4/26/2008,4,922,NA
4/26/2008,7,928,NA
4/26/2008,10,896,NA
4/26/2008,13,868,NA
4/26/2008,16,861,NA
4/26/2008,19,878,NA
4/26/2008,22,884,893
4/27/2008,1,903,NA
4/27/2008,4,914,NA
4/27/2008,7,932,NA
4/27/2008,10,924,NA
4/27/2008,13,911,NA
4/27/2008,16,898,NA
4/27/2008,19,877,NA
4/27/2008,22,882,905
4/28/2008,1,890,NA
4/28/2008,4,919,NA
4/28/2008,7,900,NA
4/28/2008,10,882,NA
4/28/2008,13,866,NA
4/28/2008,16,892,NA
4/28/2008,19,925,NA
4/28/2008,22,943,902
4/29/2008,1,957,NA
4/29/2008,4,969,NA
4/29/2008,7,955,NA
4/29/2008,10,931.5,NA
4/29/2008,13,903,NA
4/29/2008,16,888.5,NA
