Id,MSSubClass,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Condition1,Condition2,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageYrBlt,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,LotFrontagenan,MasVnrAreanan,GarageYrBltnan
25,20,4.23410650459726,9.017483513266844,2,2,1,1,1,1,3,3,1,5,8,42,9,2,2,11,0.0,3,2,2,188,668,204,1060,2,1,2,6.966024187106113,0,0,6.966024187106113,1,0,1,0,3,1,2,6,1,1,42.0,1,270,1,406,90,0,0,0,0,0,5,2010,1,1,11.944707881395766,1,0,0
26,20,4.700480365792417,9.563107691083898,2,1,1,1,2,1,3,3,1,8,5,2,2,2,2,15,640.0,2,3,3,0,0,1566,1566,2,1,2,7.3777589082278725,0,0,7.3777589082278725,0,0,2,0,3,1,2,7,1,1,2.0,3,890,1,0,56,0,0,0,0,0,7,2009,1,1,12.454103912352162,0,0,0
27,20,4.0943445622221,8.881836305004146,2,1,1,1,2,1,3,3,1,5,7,59,10,2,2,16,0.0,3,3,2,234,486,180,900,2,3,2,6.802394763324311,0,0,6.802394763324311,0,1,1,0,3,1,2,5,1,0,5.0,2,576,1,222,32,0,0,0,0,0,5,2010,1,1,11.811547477460344,0,0,0
28,20,4.584967478670572,9.348187438668308,2,1,1,1,1,1,3,3,1,8,5,3,2,2,2,15,200.0,2,3,3,1218,0,486,1704,2,1,2,7.440733707389261,0,0,7.440733707389261,1,0,2,0,3,1,2,7,1,1,2.0,3,772,1,0,50,0,0,0,0,0,5,2010,1,1,12.631340380934517,0,0,0
29,20,3.8501476017100584,9.700207901150696,2,2,1,1,3,1,3,3,1,5,6,49,9,2,2,9,0.0,3,3,2,1277,0,207,1484,2,3,2,7.3777589082278725,0,0,7.3777589082278725,1,0,1,0,2,1,3,6,1,2,49.0,1,319,1,288,258,0,0,0,0,0,12,2006,1,1,12.24288661865289,0,0,0
30,30,4.0943445622221,8.752107198329362,2,2,1,1,1,1,2,4,1,4,6,81,58,2,2,9,0.0,3,3,1,0,0,520,520,2,4,1,6.253828811575473,0,0,6.253828811575473,0,0,1,0,1,1,4,4,1,0,88.0,1,240,1,49,0,87,0,0,0,0,5,2008,1,1,11.134589024250317,0,0,0
31,70,3.912023005428146,9.047821442478408,2,1,1,1,1,1,2,3,4,4,4,88,58,3,2,4,0.0,3,4,1,0,0,649,649,2,3,1,6.47543271670409,668,0,7.183111701743281,0,0,1,0,3,1,3,6,1,0,88.0,1,250,3,0,54,172,0,0,0,0,7,2008,1,1,10.596634733096073,0,0,0
32,20,4.23410650459726,9.052984561199976,2,2,1,1,3,1,3,3,1,5,6,42,2,2,2,7,0.0,3,3,2,0,0,1228,1228,2,2,2,7.113142108707088,0,0,7.113142108707088,0,0,1,1,3,1,2,6,1,0,42.0,1,271,1,0,65,0,0,0,0,0,6,2008,1,1,11.914047823644255,1,0,0
33,20,4.442651256490317,9.310095205113175,2,1,1,1,2,1,3,3,1,8,5,1,1,2,2,15,0.0,2,3,3,0,0,1234,1234,2,1,2,7.1180162044653335,0,0,7.1180162044653335,0,0,2,0,3,1,2,7,1,0,1.0,2,484,1,0,30,0,0,0,0,0,1,2008,1,1,12.100156419938624,0,0,0
34,20,4.248495242049359,9.26407069439715,2,2,1,1,1,1,3,3,1,5,5,51,51,4,2,4,0.0,3,3,2,1018,0,380,1398,2,2,2,7.438383530044307,0,0,7.438383530044307,0,1,1,1,4,1,2,6,1,1,51.0,2,447,1,0,38,0,0,0,0,0,4,2010,1,1,12.016726473799254,0,0,0
35,120,4.0943445622221,8.89740886527095,2,1,1,1,1,1,3,3,1,9,5,2,2,4,2,9,246.0,1,3,3,1153,0,408,1561,2,1,2,7.353081920515432,0,0,7.353081920515432,1,0,2,0,2,1,1,6,1,1,2.0,2,556,1,203,47,0,0,0,0,0,8,2007,1,1,12.533576212168626,0,0,0
36,60,4.68213122712422,9.504352368122833,2,1,1,1,1,1,3,3,4,8,5,2,1,2,2,15,132.0,2,3,3,0,0,1117,1117,2,1,2,7.0317412587631285,1320,0,7.804659297056102,0,0,3,1,4,1,2,9,1,1,2.0,3,691,1,113,32,0,0,0,0,0,9,2006,1,1,12.641096555879882,0,0,0
37,20,4.718498871295094,9.2927495082169,2,1,1,1,2,1,3,3,1,5,5,15,14,2,2,15,0.0,3,3,3,0,0,1097,1097,2,1,2,7.00033446027523,0,0,7.00033446027523,0,0,1,1,3,1,3,6,1,0,14.0,2,672,1,392,64,0,0,0,0,0,6,2009,1,1,11.884489021402711,0,0,0
38,20,4.30406509320417,9.05157907959124,2,1,1,1,1,1,3,3,1,5,6,55,19,4,2,16,650.0,3,3,2,1213,0,84,1297,2,2,2,7.167809184316444,0,0,7.167809184316444,0,1,1,0,3,1,3,5,1,1,55.0,2,498,1,0,0,0,0,0,0,0,10,2009,1,1,11.938193200374572,0,0,0
39,20,4.219507705176107,8.977398978181862,2,1,1,1,1,1,3,3,1,5,7,57,3,2,2,15,0.0,3,2,2,731,0,326,1057,2,3,2,6.963189985870238,0,0,6.963189985870238,1,0,1,0,3,1,2,5,1,0,57.0,1,246,1,0,52,0,0,0,0,0,1,2010,1,2,11.59910316121128,0,0,0
40,90,4.174387269895637,8.706159290928861,2,1,1,1,1,1,3,3,1,4,5,53,53,2,2,1,0.0,3,3,3,0,0,0,0,2,3,1,7.049254841255837,0,0,7.049254841255837,0,0,2,0,2,2,4,6,1,0,28.0,0,0,3,0,0,0,0,0,0,0,6,2008,1,3,11.314474526246391,0,0,1
41,20,4.430816798843313,9.066239028001926,2,1,1,1,1,1,3,3,1,6,5,41,41,2,2,16,101.0,3,3,2,643,0,445,1088,2,1,2,7.188412736496954,0,0,7.188412736496954,0,0,2,0,3,1,3,6,1,1,41.0,2,440,1,0,138,0,0,0,0,0,12,2006,1,2,11.982929094215963,0,0,0
42,20,4.74493212836325,9.735364715141987,2,1,1,1,1,1,3,3,1,5,6,48,48,2,2,15,0.0,3,2,2,967,0,383,1350,2,2,2,7.191429330036379,0,0,7.191429330036379,0,1,1,1,2,1,3,5,1,2,48.0,1,308,2,0,104,0,0,0,0,0,7,2007,1,1,12.043553716032399,0,0,0
43,85,4.23410650459726,9.124782483614537,2,2,1,1,3,1,3,3,7,5,7,24,24,2,2,7,0.0,3,3,2,747,93,0,840,2,2,2,6.784457062637643,0,0,6.784457062637643,1,0,1,0,2,1,2,5,1,0,24.0,2,504,1,240,0,0,0,0,0,0,12,2007,1,1,11.877568578558138,1,0,0
44,20,4.23410650459726,9.126958763037132,2,2,1,1,3,1,3,3,1,5,6,33,28,4,2,15,0.0,3,3,2,280,491,167,938,2,3,2,6.843749949006225,0,0,6.843749949006225,1,0,1,0,3,1,3,5,1,0,31.0,1,308,1,145,0,0,0,0,0,0,7,2008,1,1,11.777210959615614,1,0,0
45,20,4.248495242049359,8.980298078970817,2,1,1,1,1,1,3,3,1,5,6,47,47,2,2,4,0.0,3,3,2,179,506,465,1150,2,1,2,7.047517221357296,0,0,7.047517221357296,1,0,1,0,3,1,3,6,1,0,47.0,1,300,1,0,0,0,0,0,0,0,5,2006,1,1,11.856515169360305,0,0,0
46,120,4.110873864173311,8.943506132037239,2,1,1,1,1,1,3,3,1,9,5,5,5,4,2,9,412.0,1,3,3,456,0,1296,1752,2,1,2,7.468513271496337,0,0,7.468513271496337,1,0,2,0,2,1,1,6,1,1,5.0,2,576,1,196,82,0,0,0,0,0,2,2010,1,1,12.675763725937609,0,0,0
47,50,3.871201010907891,9.458917724547202,2,2,1,1,3,1,3,3,2,7,5,6,6,2,2,15,0.0,2,3,3,1351,0,83,1434,2,1,2,7.325148957955575,631,0,7.67275789664251,1,0,1,1,1,1,2,6,1,1,6.0,2,670,1,168,43,0,0,198,0,0,8,2009,1,2,12.387085012375499,0,0,0
48,20,4.430816798843313,9.314339961994667,2,1,1,1,1,1,3,3,1,8,5,1,1,2,2,15,0.0,2,3,3,24,0,1632,1656,2,1,2,7.412160334945205,0,0,7.412160334945205,0,0,2,0,3,1,2,7,1,0,1.0,3,826,1,0,146,0,0,0,0,0,7,2007,1,1,12.428015476267865,0,0,0
49,190,3.4965075614664802,8.40200678160712,2,1,1,1,1,1,3,3,4,4,5,89,1,2,2,9,0.0,3,3,1,0,0,736,736,2,2,2,6.601230118728877,716,0,7.280697195384741,0,0,2,0,2,3,3,8,1,0,29.0,0,0,3,0,0,102,0,0,0,0,6,2009,4,6,11.635143097694478,0,0,1
50,20,4.189654742026425,8.954415331137593,2,1,1,1,1,1,3,3,1,5,7,41,41,2,2,7,0.0,3,3,2,763,0,192,955,2,1,2,6.86171134048073,0,0,6.86171134048073,1,0,1,0,3,1,3,6,1,0,41.0,1,386,1,0,0,0,0,0,0,0,1,2007,1,1,11.751942365440728,0,0,0
51,60,4.23410650459726,9.537411412656335,2,3,1,1,2,1,3,3,4,6,6,10,10,2,2,15,0.0,3,3,3,182,0,612,794,2,2,2,6.677083461247136,676,0,7.293017679772782,0,1,2,0,3,1,3,6,1,0,10.0,2,388,1,0,75,0,0,0,0,0,7,2007,1,1,12.083905011555967,1,0,0
52,50,3.9512437185814275,8.738735461363474,2,1,1,1,1,1,3,3,2,6,6,72,56,2,2,16,0.0,3,3,3,0,0,816,816,2,3,2,6.704414354964107,0,360,7.069874128458572,0,0,1,0,3,1,3,6,1,1,21.0,2,528,1,112,0,0,0,0,0,400,9,2006,1,1,11.648330101976432,0,0,0
53,90,4.700480365792417,9.044521887281242,1,3,2,1,2,2,4,3,1,5,5,47,47,2,2,16,0.0,4,3,2,104,712,0,816,2,3,1,6.704414354964107,0,0,6.704414354964107,1,0,1,0,2,1,3,5,1,0,47.0,2,516,1,106,0,0,0,0,0,0,5,2010,1,1,11.608235644774552,0,0,0
54,20,4.219507705176107,10.825183649068833,2,2,4,1,1,1,3,3,1,9,5,25,19,2,8,17,0.0,2,3,2,1810,0,32,1842,2,2,2,7.518607216815252,0,0,7.518607216815252,2,0,0,1,0,1,2,5,1,1,25.0,3,894,1,857,72,0,0,0,0,0,11,2006,1,1,12.86099861326992,0,0,0
55,80,4.0943445622221,8.872627365918836,2,1,2,1,1,2,3,3,8,5,5,52,52,2,2,9,0.0,3,3,2,384,0,0,384,2,3,2,7.215239978730097,0,0,7.215239978730097,0,0,1,0,3,1,3,6,2,1,45.0,2,572,1,0,50,0,0,0,0,0,2,2007,1,1,11.77528972943772,0,0,0
56,20,4.605170185988092,9.227689010310796,2,2,1,1,1,1,3,3,1,6,5,44,44,2,2,7,272.0,3,3,2,490,0,935,1425,2,2,2,7.261927092702751,0,0,7.261927092702751,0,0,2,0,3,1,3,7,1,1,44.0,2,576,1,0,0,0,407,0,0,0,7,2008,1,1,12.103486056755072,0,0,0
57,160,3.1780538303479458,7.8804263442924,2,1,1,1,1,1,3,3,4,8,5,10,9,2,2,9,456.0,2,3,3,649,0,321,970,2,1,2,6.890609120147166,756,0,7.461065514354283,1,0,2,1,3,1,2,7,1,0,10.0,2,480,1,115,0,0,0,0,0,0,8,2009,1,2,12.058152515453552,0,0,0
58,60,4.48863636973214,9.36263218231844,2,2,1,1,2,1,3,3,4,7,5,2,2,2,2,15,0.0,2,3,3,0,0,860,860,2,1,2,6.756932389247553,860,0,7.450079569807499,0,0,2,1,3,1,2,7,1,0,2.0,2,565,1,0,70,0,0,0,0,0,8,2006,1,1,12.188417710291453,0,0,0
59,60,4.189654742026425,9.523836379320944,2,3,3,1,3,1,3,3,4,10,5,0,0,4,2,15,1031.0,1,3,3,0,0,1410,1410,2,1,2,7.262628600974241,1519,0,7.987864096085687,0,0,3,1,3,1,2,10,1,1,0.0,3,641,1,192,0,37,0,0,0,0,10,2006,4,6,12.991753427493052,0,0,0
60,20,4.0943445622221,8.881836305004146,2,1,2,1,1,1,3,3,1,5,7,36,36,2,2,7,0.0,3,3,2,632,0,148,780,2,1,2,6.659293919683638,0,0,6.659293919683638,0,0,1,0,2,1,3,4,1,0,35.0,1,352,1,196,0,0,0,0,0,0,1,2008,1,1,11.73526869611367,0,0,0
61,20,4.143134726391533,9.478227817099784,2,1,1,1,1,1,9,3,1,6,5,2,2,2,2,15,0.0,3,3,3,941,0,217,1158,2,1,2,7.05444965813294,0,0,7.05444965813294,1,0,1,1,3,1,2,5,1,0,0.0,2,576,1,0,50,0,0,0,0,0,5,2006,4,6,11.970350312009105,0,0,0
62,75,4.0943445622221,8.881836305004146,2,1,1,1,1,1,3,3,6,5,7,87,11,2,2,9,0.0,3,3,1,0,0,530,530,2,3,1,6.364750756851911,530,0,7.01301578963963,0,0,1,0,3,1,4,6,1,0,72.0,1,288,3,0,0,144,0,0,0,0,3,2007,1,1,11.522875795823397,0,0,0
63,120,3.784189633918261,8.770594329891145,2,2,1,1,1,1,3,3,1,8,5,1,1,2,2,15,178.0,2,3,3,24,0,1346,1370,2,1,2,7.222566018822171,0,0,7.222566018822171,0,0,2,0,2,1,2,6,1,1,1.0,2,484,1,120,49,0,0,0,0,0,10,2007,1,1,12.218495165528731,0,0,0
64,70,3.912023005428146,9.239899174217728,2,2,2,1,1,1,5,2,4,7,6,89,60,2,2,14,0.0,3,3,1,0,0,576,576,2,2,2,6.804614520062624,808,0,7.444248649496705,0,0,2,0,3,1,3,9,1,0,20.0,2,480,1,12,11,64,0,0,0,0,4,2010,1,1,11.84939770159144,0,0,0
65,60,4.23410650459726,9.14580185083861,2,1,1,1,1,1,3,3,4,7,5,12,11,2,2,15,573.0,3,3,3,739,0,318,1057,2,1,2,6.963189985870238,977,0,7.617759576608505,1,0,2,1,3,1,2,8,1,0,11.0,2,645,1,576,36,0,0,0,0,0,2,2009,1,1,12.299107511497363,1,0,0
66,60,4.330733340286331,9.16858043772795,2,1,1,1,1,1,3,3,4,8,5,3,2,2,2,15,344.0,2,3,3,0,0,1143,1143,2,1,2,7.04141166379481,1330,0,7.813187267521416,0,0,2,1,4,1,2,9,1,1,3.0,3,852,1,192,151,0,0,0,0,0,10,2007,1,1,12.666657052859417,0,0,0
67,20,4.23410650459726,9.898475010712584,2,1,1,1,1,1,7,3,1,7,5,40,21,2,2,11,287.0,3,3,2,912,0,1035,1947,2,3,2,7.699389406256737,0,0,7.699389406256737,1,0,2,0,3,1,3,7,2,1,40.0,2,576,1,301,0,0,0,0,0,0,7,2010,1,1,12.100712129872347,1,0,0
68,20,4.276666119016055,9.274722630905451,2,2,1,1,1,1,3,3,1,7,5,4,4,2,2,15,167.0,2,3,3,1013,0,440,1453,2,1,2,7.2991214627108,0,0,7.2991214627108,1,0,2,0,3,1,2,7,1,0,4.0,2,558,1,144,29,0,0,0,0,0,6,2007,1,1,12.328290278254423,0,0,0
69,30,3.8501476017100584,8.435549202375727,2,1,1,1,2,1,1,3,1,4,6,65,60,2,2,9,0.0,3,2,2,0,0,747,747,2,3,2,6.616065185132817,0,0,6.616065185132817,0,0,1,0,2,1,3,4,1,0,65.0,1,220,1,0,0,0,0,0,0,0,6,2010,1,1,11.289781913656018,0,0,0
70,50,4.394449154672439,9.654577374584886,2,1,1,1,2,1,3,3,2,7,4,53,53,2,2,4,0.0,2,3,2,603,0,701,1304,3,3,2,7.1731917424865985,983,0,7.734996194022781,0,0,2,0,3,1,3,7,1,1,53.0,2,667,1,0,21,114,0,0,0,0,7,2006,1,1,12.323855681186558,0,0,0
71,20,4.553876891600541,9.521568058002977,2,2,1,1,1,1,3,3,1,7,6,34,34,2,2,11,1115.0,3,2,2,1880,0,343,2223,2,1,2,7.706612913964197,0,0,7.706612913964197,1,0,2,0,3,1,3,8,1,2,34.0,2,516,1,300,0,0,0,0,0,0,2,2007,1,1,12.404923504275338,0,0,0
72,20,4.23410650459726,8.935771938669784,2,1,1,1,2,1,3,3,1,4,6,25,1,2,2,7,0.0,3,3,2,565,0,280,845,2,3,2,6.739336627357174,0,0,6.739336627357174,1,0,1,0,2,1,3,4,1,0,20.0,2,360,1,0,0,0,0,0,0,0,6,2007,1,1,11.771436160121729,0,0,0
73,60,4.30406509320417,9.224341891611996,2,2,1,1,2,1,3,3,4,7,5,11,11,2,2,15,40.0,3,3,3,0,0,832,832,2,2,2,6.785587645007929,833,0,7.4489161025442,0,0,2,1,3,1,3,7,1,1,11.0,2,427,1,0,94,0,0,291,0,0,12,2009,1,1,12.128111104060462,0,0,0
74,20,4.442651256490317,9.230142999272362,2,1,1,1,1,1,3,3,1,5,7,56,7,2,2,16,104.0,3,3,2,320,362,404,1086,2,2,2,6.990256500493881,0,0,6.990256500493881,1,0,1,0,3,1,3,6,1,0,21.0,2,490,1,0,0,0,0,0,0,0,5,2010,1,1,11.883799128308773,0,0,0
75,50,4.0943445622221,8.663887570567042,2,1,1,1,2,1,3,3,4,3,6,95,60,3,2,15,0.0,2,2,2,0,0,840,840,2,2,1,6.733401891837359,765,0,7.380879035564116,0,0,2,0,3,2,3,8,1,0,95.0,1,379,1,0,0,202,0,0,0,0,5,2010,1,1,11.584315461056901,0,0,0
76,180,3.044522437723423,7.3752557780097545,2,1,1,1,1,1,3,3,8,4,5,36,36,2,2,6,0.0,3,3,2,462,0,0,462,2,3,2,6.26530121273771,462,0,6.895682697747868,1,0,1,0,2,1,3,5,1,0,36.0,1,297,1,120,101,0,0,0,0,0,11,2009,1,1,11.418614785498987,0,0,0
77,20,4.23410650459726,9.044875932248651,2,2,1,1,1,1,3,3,1,4,7,52,52,2,2,15,0.0,3,3,2,228,0,724,952,2,1,2,6.858565034791365,0,0,6.858565034791365,0,0,1,0,2,1,3,4,1,0,52.0,1,283,1,0,0,0,0,0,0,0,4,2008,1,1,11.818570237796182,1,0,0
78,50,3.912023005428146,9.06357899058078,2,1,1,1,1,1,3,3,2,5,5,60,7,2,2,16,0.0,3,3,2,336,41,295,672,2,3,2,6.977281341630747,213,0,7.158513997329321,1,0,1,0,2,1,3,6,2,0,60.0,1,240,1,0,0,0,0,0,0,0,1,2008,1,1,11.751942365440728,0,0,0
79,90,4.276666119016055,9.285262298493443,2,1,1,1,1,1,3,3,1,4,5,42,42,4,2,7,0.0,3,3,2,0,0,1768,1768,2,3,1,7.477604243197589,0,0,7.477604243197589,0,0,2,0,4,2,3,8,1,0,30.0,0,0,1,0,0,0,0,0,0,0,4,2010,1,1,11.824079893607152,0,0,1
