Hero,Appeared With
"WU, LEIKO","TARR, BLACK JACK, SHANG-CHI, SMITH, SIR DENIS NAY, STARSHINE II/BRANDY , JACKSON, STEVE, RESTON, CLIVE, ROM, SPACEKNIGHT, DOCTOR DREDD"
DOCTOR DREDD,"TARR, BLACK JACK, SHANG-CHI, SMITH, SIR DENIS NAY, STARSHINE II/BRANDY , WU, LEIKO, JACKSON, STEVE, RESTON, CLIVE, ROM, SPACEKNIGHT"
"RESTON, CLIVE","TARR, BLACK JACK, SHANG-CHI, SMITH, SIR DENIS NAY, STARSHINE II/BRANDY , WU, LEIKO, JACKSON, STEVE, ROM, SPACEKNIGHT, DOCTOR DREDD"
"JACKSON, STEVE","TARR, BLACK JACK, SHANG-CHI, DESTINY II/IRENE ADL, TORPEDO III/BROCK JO, JONES, TAMMY ANNE, ROGUE /, SMITH, SIR DENIS NAY, CLARK, JOHN, KILLBURN, MACK, STARSHINE II/BRANDY , RESTON, CLIVE, CLARK, SARAH, HYBRID/JAMES JIMMY M, MYSTIQUE/RAVEN DARKH, ROM, SPACEKNIGHT, JONES, NELL, JONES, DANIEL DANNY, JONES, LORRAINE LORR, WU, LEIKO, DOCTOR DREDD"
MYSTIQUE/RAVEN DARKH,"DESTINY II/IRENE ADL, JONES, DANIEL DANNY, TORPEDO III/BROCK JO, JONES, LORRAINE LORR, AVALANCHE/DOMINIC PE, KILLBURN, MACK, BLOB/FRED J. DUKES, HYBRID/JAMES JIMMY M, JONES, TAMMY ANNE, STARSHINE II/BRANDY , PYRO/ALLERDYCE JOHNN, JACKSON, STEVE, ROM, SPACEKNIGHT, ROGUE /"
BLOB/FRED J. DUKES,"DESTINY II/IRENE ADL, PROFESSOR X/CHARLES , SUPREME ONE, TORPEDO III/BROCK JO, BEAST/HENRY &HANK& P, MARVEL GIRL/JEAN GRE, CYCLOPS/SCOTT SUMMER, AVALANCHE/DOMINIC PE, ICEMAN/ROBERT BOBBY , HYBRID/JAMES JIMMY M, MYSTIQUE/RAVEN DARKH, ANGEL/WARREN KENNETH, PYRO/ALLERDYCE JOHNN, UNUS THE UNTOUCHABLE, LUCIFER, ROM, SPACEKNIGHT, ROGUE /"
TORPEDO III/BROCK JO,"DESTINY II/IRENE ADL, JONES, DANIEL DANNY, JONES, LORRAINE LORR, CLARK, SARAH, CLARK, JOHN, JONES, NELL, AVALANCHE/DOMINIC PE, KILLBURN, MACK, HYBRID/JAMES JIMMY M, MYSTIQUE/RAVEN DARKH, BLOB/FRED J. DUKES, JONES, TAMMY ANNE, STARSHINE II/BRANDY , PYRO/ALLERDYCE JOHNN, JACKSON, STEVE, ROM, SPACEKNIGHT, ROGUE /"
PYRO/ALLERDYCE JOHNN,"DESTINY II/IRENE ADL, TORPEDO III/BROCK JO, AVALANCHE/DOMINIC PE, HYBRID/JAMES JIMMY M, MYSTIQUE/RAVEN DARKH, BLOB/FRED J. DUKES, ROM, SPACEKNIGHT, ROGUE /"
AVALANCHE/DOMINIC PE,"DESTINY II/IRENE ADL, TORPEDO III/BROCK JO, HYBRID/JAMES JIMMY M, MYSTIQUE/RAVEN DARKH, BLOB/FRED J. DUKES, PYRO/ALLERDYCE JOHNN, ROM, SPACEKNIGHT, ROGUE /"
ROGUE /,"MAJOR DOMO, DESTINY II/IRENE ADL, HAWKSHAW, TORPEDO III/BROCK JO, STORM/ORORO MUNROE S, MALICE IV, AVALANCHE/DOMINIC PE, MAGIK/ILLYANA RASPUT, BLOB/FRED J. DUKES, JONES, TAMMY ANNE, MOREAU, PHILLIP, GATEWAY, DAZZLER II/ALLISON B, PYRO/ALLERDYCE JOHNN, MOJO, S'YM, MAGNETO/MAGNUS/ERIC , CONOVER, REV. WILLIA, LONGSHOT, MR. SINISTER/NATHAN , SUMMERS, MADELYNE MA, TILBY, TRISH/PATRICI, KILLBURN, MACK, GAMBIT/REMY LEBEAU , MOREAU, DAVID, HAVOK/ALEX SUMMERS , STARSHINE II/BRANDY , CANNONBALL II/SAM GU, CONOVER, HANNAH, PIPELINE/CORMICK GRI, QUARK, N'ASTIRH, WOLFSBANE/RAHNE SINC, WARLOCK III, MAGOG II, MARVEL GIRL/JEAN GRE, MIRAGE II/DANIELLE M, COLOSSUS II/PETER RA, HYBRID/JAMES JIMMY M, MYSTIQUE/RAVEN DARKH, FORGE, GOG III, PSYLOCKE/ELISABETH B, ROM, SPACEKNIGHT, PUNCHOUT, WIPEOUT, SUNSPOT/ROBERTO DACO, JONES, DANIEL DANNY, ARIZE, RANSOME, JENNIFER AM, JONES, LORRAINE LORR, WOLVERINE/LOGAN , CYCLOPS/SCOTT SUMMER, BEAST/HENRY &HANK& P, SUMMERS, NATHAN CHRI, POLARIS/LORNA DANE, JACKSON, STEVE, PROFESSOR X/CHARLES "
DESTINY II/IRENE ADL,"JONES, DANIEL DANNY, TORPEDO III/BROCK JO, JONES, LORRAINE LORR, AVALANCHE/DOMINIC PE, KILLBURN, MACK, HYBRID/JAMES JIMMY M, MYSTIQUE/RAVEN DARKH, BLOB/FRED J. DUKES, JONES, TAMMY ANNE, STARSHINE II/BRANDY , PYRO/ALLERDYCE JOHNN, JACKSON, STEVE, ROM, SPACEKNIGHT, ROGUE /"
HYBRID/JAMES JIMMY M,"DESTINY II/IRENE ADL, JONES, DANIEL DANNY, TORPEDO III/BROCK JO, JONES, LORRAINE LORR, CLARK, SARAH, JONES, NELL, CLARK, JOHN, AVALANCHE/DOMINIC PE, KILLBURN, MACK, BLOB/FRED J. DUKES, MYSTIQUE/RAVEN DARKH, STARSHINE II/BRANDY , JONES, TAMMY ANNE, PYRO/ALLERDYCE JOHNN, JACKSON, STEVE, ROM, SPACEKNIGHT, ROGUE /"
"CLARK, SARAH","JONES, DANIEL DANNY, TORPEDO III/BROCK JO, JONES, LORRAINE LORR, CLARK, JOHN, KILLBURN, MACK, HYBRID/JAMES JIMMY M, STARSHINE II/BRANDY , JONES, TAMMY ANNE, JACKSON, STEVE, ROM, SPACEKNIGHT, JONES, NELL"
"KILLBURN, MACK","DESTINY II/IRENE ADL, JONES, DANIEL DANNY, TORPEDO III/BROCK JO, ROGUE /, JONES, LORRAINE LORR, CLARK, SARAH, CLARK, JOHN, HYBRID/JAMES JIMMY M, JONES, TAMMY ANNE, STARSHINE II/BRANDY , MYSTIQUE/RAVEN DARKH, JACKSON, STEVE, ROM, SPACEKNIGHT, JONES, NELL"
"JONES, TAMMY ANNE","DESTINY II/IRENE ADL, JONES, DANIEL DANNY, TORPEDO III/BROCK JO, ROGUE /, JONES, LORRAINE LORR, CLARK, SARAH, CLARK, JOHN, KILLBURN, MACK, HYBRID/JAMES JIMMY M, STARSHINE II/BRANDY , MYSTIQUE/RAVEN DARKH, JACKSON, STEVE, ROM, SPACEKNIGHT, JONES, NELL"
"JONES, LORRAINE LORR","DESTINY II/IRENE ADL, JONES, DANIEL DANNY, TORPEDO III/BROCK JO, ROGUE /, CLARK, SARAH, CLARK, JOHN, KILLBURN, MACK, HYBRID/JAMES JIMMY M, STARSHINE II/BRANDY , JONES, TAMMY ANNE, MYSTIQUE/RAVEN DARKH, JACKSON, STEVE, ROM, SPACEKNIGHT, JONES, NELL"
"JONES, NELL","JONES, DANIEL DANNY, TORPEDO III/BROCK JO, JONES, LORRAINE LORR, CLARK, SARAH, CLARK, JOHN, KILLBURN, MACK, HYBRID/JAMES JIMMY M, STARSHINE II/BRANDY , JONES, TAMMY ANNE, JACKSON, STEVE, ROM, SPACEKNIGHT"
"JONES, DANIEL DANNY","DESTINY II/IRENE ADL, TORPEDO III/BROCK JO, ROGUE /, JONES, LORRAINE LORR, CLARK, SARAH, CLARK, JOHN, KILLBURN, MACK, HYBRID/JAMES JIMMY M, STARSHINE II/BRANDY , JONES, TAMMY ANNE, MYSTIQUE/RAVEN DARKH, JACKSON, STEVE, ROM, SPACEKNIGHT, JONES, NELL"
"CLARK, JOHN","JONES, DANIEL DANNY, TORPEDO III/BROCK JO, JONES, LORRAINE LORR, CLARK, SARAH, KILLBURN, MACK, HYBRID/JAMES JIMMY M, STARSHINE II/BRANDY , JONES, TAMMY ANNE, JACKSON, STEVE, ROM, SPACEKNIGHT, JONES, NELL"
SUB-MARINER/NAMOR MA,"U-MAN/MERRANO, KRIEGHUND, COL., MR. FANTASTIC/REED R, HUMAN TORCH ANDROID/, IRON MAN/TONY STARK , SPITFIRE/LADY JACQUE, GREEN GOBLIN/NORMAN , WHIZZER/ROBERT L. FR, TORO/TOM RAYMOND, OSBORN, LIZ ALLAN, UNION JACK II/BRIAN , PRENTISS, BETTY DEAN, UNION JACK/LORD MONT, DR. STRANGE/STEPHEN , DAREDEVIL/MATT MURDO, PATRIOT/JEFF MACE, SUNDOWN/DR. DAVE LOW, PARKER, MAY, FITZPATRICK, WILL, THIN MAN/BRUCE DICKS, BARON BLOOD/JOHN FAL, HULK/DR. ROBERT BRUC, WASP/JANET VAN DYNE , DRACULA/VLAD TEPES, HUMAN TORCH/JOHNNY S, BANNER, BETTY ROSS T, STARSHINE II/BRANDY , MCKEEVER, TINY, ANGEL/WARREN KENNETH, CHURCHILL, SIR WINST, DEAN, BETTY, MISS AMERICA/MADELIN, CAPTAIN AMERICA, SEAWEED MAN, GEORGE, DAVID LLOYD, MARVEL GIRL/JEAN GRE, RED RAVEN, ANT-MAN/DR. HENRY J., BUCKY/BUCKY BARNES, BARON STRUCKER/WOLFG, ICEMAN/ROBERT BOBBY , WONG, JACK FROST/, JAMESON, J. JONAH, IONELLO, JASON, ROM, SPACEKNIGHT, LEEDS, BETTY BRANT, BOOMERANG/FRED MYERS, INVISIBLE WOMAN/SUE , THOMPSON, EUGENE FLA, JONES, RICHARD MILHO, RED SKULL/JOHANN SCH, HORTON, PROFESSOR PH, THING/BENJAMIN J. GR, BEAST/HENRY &HANK& P, CYCLOPS/SCOTT SUMMER, BLUE DIAMOND/PROFESS, TALBOT, GLENN, SPIDER-MAN/PETER PAR, ROSS, GEN. THADDEUS , VASHTI, HOGAN, HAROLD J. HAP, THOR/DR. DONALD BLAK"
VASHTI,"SEAWEED MAN, STARSHINE II/BRANDY , SUB-MARINER/NAMOR MA, ROM, SPACEKNIGHT"
SEAWEED MAN,"VASHTI, SUB-MARINER/NAMOR MA, ROM, SPACEKNIGHT"
NOVA/RICHARD RIDER,"NIGHT THRASHER/DUANE, MR. FANTASTIC/REED R, JUBILEE/JUBILATION L, IRON MAN/TONY STARK , STORM/ORORO MUNROE S, OBLIVION, NAMORITA/NITA PRENTI, PUNISHER II/FRANK CA, GALACTUS/GALAN, ANDROMEDA/ANDROMEDA , FIRESTAR/ANGELICA JO, THUNDERSTRIKE/ERIC K, DEATHLOK III/MICHAEL, INFINITY II, LORD CHAOS, HULK/DR. ROBERT BRUC, SILVER SURFER/NORRIN, JUSTICE II/VANCE AST, ANGEL/WARREN KENNETH, THUNDERBALL/DR. ELIO, SPEEDBALL/ROBBIE BAL, WONDER MAN/SIMON WIL, CAPTAIN AMERICA, MARVEL GIRL/JEAN GRE, UATU, VISION , PSYLOCKE/ELISABETH B, SCARLET WITCH/WANDA , INVISIBLE WOMAN/SUE , THING/BENJAMIN J. GR, MASTER ORDER, KISMET/J'RIDIA STARD, BEAST/HENRY &HANK& P, ETERNITY/ADAM QADMON, CYCLOPS/SCOTT SUMMER, WOLVERINE/LOGAN , SHE-HULK/JENNIFER WA, SPIDER-MAN/PETER PAR, DEATH, GHOST RIDER III/DAN , BLACK PANTHER/T'CHAL, IN-BETWEENER"
FIRESTAR/ANGELICA JO,"NIGHT THRASHER/DUANE, HULK/DR. ROBERT BRUC, NAMORITA/NITA PRENTI, HINDSIGHT LAD/CARLTO, TURBO II (A)/MICHIKO, SPIDER-MAN CLONE/BEN, NOVA/RICHARD RIDER, SPIDER-MAN/PETER PAR, JUSTICE II/VANCE AST, SPEEDBALL II/DARRION, THUNDERBALL/DR. ELIO, SPEEDBALL/ROBBIE BAL, GEE/ALEX POWER, WATSON-PARKER, MARY "
THUNDERBALL/DR. ELIO,"NIGHT THRASHER/DUANE, PARKER, MAY, HULK/DR. ROBERT BRUC, NAMORITA/NITA PRENTI, FIRESTAR/ANGELICA JO, NOVA/RICHARD RIDER, SPIDER-MAN/PETER PAR, FROG-MAN II/EUGENE P, LUBENSKI, NATE, SPEEDBALL/ROBBIE BAL, WATSON, ANNA, WATSON-PARKER, MARY "
NAMORITA/NITA PRENTI,"NIGHT THRASHER/DUANE, HULK/DR. ROBERT BRUC, FIRESTAR/ANGELICA JO, NOVA/RICHARD RIDER, SPIDER-MAN/PETER PAR, JUSTICE II/VANCE AST, THUNDERBALL/DR. ELIO, SPEEDBALL/ROBBIE BAL"
SPEEDBALL/ROBBIE BAL,"NIGHT THRASHER/DUANE, MR. FANTASTIC/REED R, JUBILEE/JUBILATION L, IRON MAN/TONY STARK , STORM/ORORO MUNROE S, OBLIVION, NAMORITA/NITA PRENTI, PUNISHER II/FRANK CA, GALACTUS/GALAN, ANDROMEDA/ANDROMEDA , FIRESTAR/ANGELICA JO, THUNDERSTRIKE/ERIC K, DEATHLOK III/MICHAEL, INFINITY II, LORD CHAOS, HULK/DR. ROBERT BRUC, SILVER SURFER/NORRIN, NOVA/RICHARD RIDER, JUSTICE II/VANCE AST, ANGEL/WARREN KENNETH, THUNDERBALL/DR. ELIO, WONDER MAN/SIMON WIL, CAPTAIN AMERICA, MARVEL GIRL/JEAN GRE, UATU, VISION , PSYLOCKE/ELISABETH B, SCARLET WITCH/WANDA , INVISIBLE WOMAN/SUE , MASTER ORDER, KISMET/J'RIDIA STARD, THING/BENJAMIN J. GR, BEAST/HENRY &HANK& P, ETERNITY/ADAM QADMON, WOLVERINE/LOGAN , CYCLOPS/SCOTT SUMMER, SHE-HULK/JENNIFER WA, SPIDER-MAN/PETER PAR, DEATH, GHOST RIDER III/DAN , BLACK PANTHER/T'CHAL, IN-BETWEENER"
