Date,Hour,Waterlevel
01/06/2008,14,105
01/06/2008,15,99
01/06/2008,16,93
01/06/2008,17,88
01/06/2008,18,84
01/06/2008,19,80
01/06/2008,20,76
01/06/2008,21,72
01/06/2008,22,68
01/06/2008,23,65
01/07/2008,0,62.5
01/07/2008,1,60
01/07/2008,2,69
01/07/2008,3,84
01/07/2008,4,97
01/07/2008,5,107
01/07/2008,6,117
01/07/2008,7,125
01/07/2008,8,129
01/07/2008,9,132
01/07/2008,10,128
01/07/2008,11,122
01/07/2008,12,115
01/07/2008,13,109
01/07/2008,14,103
01/07/2008,15,97
01/07/2008,16,91
01/07/2008,17,85
01/07/2008,18,79
01/07/2008,19,73
01/07/2008,20,67
01/07/2008,21,62
01/07/2008,22,57
01/07/2008,23,52
01/08/2008,0,49.5
01/08/2008,1,47
01/08/2008,2,46
01/08/2008,3,54
01/08/2008,4,69
01/08/2008,5,88
01/08/2008,6,100
01/08/2008,7,110
01/08/2008,8,118
01/08/2008,9,124
01/08/2008,10,125
01/08/2008,11,122
01/08/2008,12,116
01/08/2008,13,109
01/08/2008,14,103
01/08/2008,15,98
01/08/2008,16,92
01/08/2008,17,86
01/08/2008,18,81
01/08/2008,19,76
01/08/2008,20,71
01/08/2008,21,67
01/08/2008,22,63
01/08/2008,23,59
01/09/2008,0,57.5
01/09/2008,1,56
01/09/2008,2,55
01/09/2008,3,54
01/09/2008,4,65
01/09/2008,5,83
01/09/2008,6,102
01/09/2008,7,112
01/09/2008,8,121
01/09/2008,9,128
01/09/2008,10,133
01/09/2008,11,130
01/09/2008,12,124
01/09/2008,13,119
01/09/2008,14,114
01/09/2008,15,109
01/09/2008,16,104
01/09/2008,17,98
01/09/2008,18,93
01/09/2008,19,89
01/09/2008,20,84
01/09/2008,21,79
01/09/2008,22,74
01/09/2008,23,70
01/10/2008,0,66
01/10/2008,1,62
01/10/2008,2,59
01/10/2008,3,57
01/10/2008,4,64
01/10/2008,5,77
01/10/2008,6,96
01/10/2008,7,110
01/10/2008,8,122
01/10/2008,9,131
01/10/2008,10,137
01/10/2008,11,139
01/10/2008,12,136
01/10/2008,13,130
01/10/2008,14,125
01/10/2008,15,120
01/10/2008,16,116
01/10/2008,17,112
01/10/2008,18,108
01/10/2008,19,103
01/10/2008,20,97
01/10/2008,21,91
01/10/2008,22,85
01/10/2008,23,81
01/11/2008,0,77
01/11/2008,1,73
01/11/2008,2,69
01/11/2008,3,66
01/11/2008,4,65
01/11/2008,5,74
01/11/2008,6,91
01/11/2008,7,108
01/11/2008,8,119
01/11/2008,9,129
01/11/2008,10,135
01/11/2008,11,140
01/11/2008,12,139
01/11/2008,13,133
01/11/2008,14,128
01/11/2008,15,122
01/11/2008,16,117
01/11/2008,17,111
01/11/2008,18,107
01/11/2008,19,101
01/11/2008,20,95
01/11/2008,21,89
01/11/2008,22,83
01/11/2008,23,77
01/12/2008,0,72.5
01/12/2008,1,68
01/12/2008,2,62
01/12/2008,3,58
01/12/2008,4,56
01/12/2008,5,59
01/12/2008,6,72
01/12/2008,7,87
01/12/2008,8,100
01/12/2008,9,111
01/12/2008,10,119
01/12/2008,11,126
01/12/2008,12,128
01/12/2008,13,125
01/12/2008,14,120
01/12/2008,15,115
01/12/2008,16,110
01/12/2008,17,105
01/12/2008,18,100
01/12/2008,19,96
01/12/2008,20,91
01/12/2008,21,86
01/12/2008,22,81
01/12/2008,23,76
1/13/2008,0,71
1/13/2008,1,66
1/13/2008,2,61
1/13/2008,3,57
1/13/2008,4,54
1/13/2008,5,53
1/13/2008,6,57
1/13/2008,7,71
1/13/2008,8,85
1/13/2008,9,97
1/13/2008,10,108
1/13/2008,11,115
1/13/2008,12,119
1/13/2008,13,122
1/13/2008,14,120
1/13/2008,15,117
1/13/2008,16,112
1/13/2008,17,107
1/13/2008,18,102
1/13/2008,19,97
1/13/2008,20,92
1/13/2008,21,87
1/13/2008,22,82
1/13/2008,23,77
1/14/2008,0,72
1/14/2008,1,67
1/14/2008,2,62
1/14/2008,3,58
1/14/2008,4,54
1/14/2008,5,51
1/14/2008,6,52
1/14/2008,7,61
1/14/2008,8,75
1/14/2008,9,87
1/14/2008,10,97
1/14/2008,11,104
1/14/2008,12,108
1/14/2008,13,110
1/14/2008,14,110
1/14/2008,15,107
1/14/2008,16,102
1/14/2008,17,97
1/14/2008,18,92
1/14/2008,19,87
1/14/2008,20,82
1/14/2008,21,77
1/14/2008,22,72
1/14/2008,23,67
1/15/2008,0,62.5
1/15/2008,1,58
1/15/2008,2,54
1/15/2008,3,50
1/15/2008,4,46
1/15/2008,5,45
1/15/2008,6,47
1/15/2008,7,58
1/15/2008,8,71
1/15/2008,9,82
1/15/2008,10,88
1/15/2008,11,91
1/15/2008,12,92
1/15/2008,13,91
1/15/2008,14,89
1/15/2008,15,85
1/15/2008,16,81
1/15/2008,17,78
1/15/2008,18,75
1/15/2008,19,72
1/15/2008,20,69
1/15/2008,21,66
1/15/2008,22,63
1/15/2008,23,60
1/16/2008,0,57
1/16/2008,1,54
1/16/2008,2,51
1/16/2008,3,49
1/16/2008,4,47
1/16/2008,5,46
1/16/2008,6,46
1/16/2008,7,49
1/16/2008,8,54
1/16/2008,9,60
1/16/2008,10,63
1/16/2008,11,64
1/16/2008,12,62
1/16/2008,13,59
1/16/2008,14,56
1/16/2008,15,53
1/16/2008,16,51
1/16/2008,17,50
1/16/2008,18,49
1/16/2008,19,49
1/16/2008,20,49
1/16/2008,21,51
1/16/2008,22,54
1/16/2008,23,58
1/17/2008,0,61
1/17/2008,1,64
1/17/2008,2,65
1/17/2008,3,66
1/17/2008,4,65
1/17/2008,5,63
1/17/2008,6,64
1/17/2008,7,66
1/17/2008,8,67
1/17/2008,9,68
1/17/2008,10,66
1/17/2008,11,64
1/17/2008,12,61
1/17/2008,13,57
1/17/2008,14,53
1/17/2008,15,48
1/17/2008,16,44
1/17/2008,17,42
1/17/2008,18,40
1/17/2008,19,40
1/17/2008,20,41
1/17/2008,21,47
1/17/2008,22,56
1/17/2008,23,72
1/18/2008,0,85
1/18/2008,1,98
1/18/2008,2,103
1/18/2008,3,105
1/18/2008,4,106
1/18/2008,5,106
1/18/2008,6,106
1/18/2008,7,105
1/18/2008,8,102
1/18/2008,9,97
1/18/2008,10,91
1/18/2008,11,86
1/18/2008,12,82
1/18/2008,13,78
1/18/2008,14,73
1/18/2008,15,69
1/18/2008,16,65
1/18/2008,17,62
1/18/2008,18,59
1/18/2008,19,56
1/18/2008,20,54
1/18/2008,21,55
1/18/2008,22,70
1/18/2008,23,87
1/19/2008,0,99
1/19/2008,1,111
1/19/2008,2,124
1/19/2008,3,134
1/19/2008,4,142
1/19/2008,5,147
1/19/2008,6,149
1/19/2008,7,148
1/19/2008,8,144
1/19/2008,9,139
1/19/2008,10,133
1/19/2008,11,127
1/19/2008,12,122
1/19/2008,13,117
1/19/2008,14,113
1/19/2008,15,108
1/19/2008,16,103
1/19/2008,17,98
1/19/2008,18,94
1/19/2008,19,90
1/19/2008,20,87
1/19/2008,21,84
1/19/2008,22,82
1/19/2008,23,82
1/20/2008,0,94
1/20/2008,1,106
1/20/2008,2,122
1/20/2008,3,136
1/20/2008,4,147
1/20/2008,5,154
1/20/2008,6,160
1/20/2008,7,163
1/20/2008,8,162
1/20/2008,9,158
1/20/2008,10,153
1/20/2008,11,147
1/20/2008,12,141
1/20/2008,13,136
1/20/2008,14,131
1/20/2008,15,127
1/20/2008,16,123
1/20/2008,17,119
1/20/2008,18,115
1/20/2008,19,111
1/20/2008,20,107
1/20/2008,21,103
1/20/2008,22,99
1/20/2008,23,97
1/21/2008,0,102.5
1/21/2008,1,108
1/21/2008,2,122
1/21/2008,3,138
1/21/2008,4,150
1/21/2008,5,158
1/21/2008,6,166
1/21/2008,7,173
1/21/2008,8,177
1/21/2008,9,176
1/21/2008,10,171
1/21/2008,11,166
1/21/2008,12,160
1/21/2008,13,154
1/21/2008,14,149
1/21/2008,15,144
1/21/2008,16,139
1/21/2008,17,133
1/21/2008,18,128
1/21/2008,19,123
1/21/2008,20,118
1/21/2008,21,114
1/21/2008,22,110
1/21/2008,23,106
1/22/2008,0,103
1/22/2008,1,100
1/22/2008,2,105
1/22/2008,3,113
1/22/2008,4,124
1/22/2008,5,140
1/22/2008,6,151
1/22/2008,7,161
1/22/2008,8,168
1/22/2008,9,171
1/22/2008,10,170
1/22/2008,11,165
1/22/2008,12,158
1/22/2008,13,152
1/22/2008,14,146
1/22/2008,15,141
1/22/2008,16,136
1/22/2008,17,130
1/22/2008,18,124
1/22/2008,19,119
1/22/2008,20,114
1/22/2008,21,110
1/22/2008,22,106
1/22/2008,23,101
1/23/2008,0,97
1/23/2008,1,93
1/23/2008,2,90
1/23/2008,3,96
1/23/2008,4,104
1/23/2008,5,113
1/23/2008,6,127
1/23/2008,7,138
1/23/2008,8,148
1/23/2008,9,155
1/23/2008,10,157
1/23/2008,11,154
1/23/2008,12,148
1/23/2008,13,144
1/23/2008,14,139
1/23/2008,15,134
1/23/2008,16,129
1/23/2008,17,124
1/23/2008,18,119
1/23/2008,19,114
1/23/2008,20,109
1/23/2008,21,104
1/23/2008,22,99
1/23/2008,23,94
1/24/2008,0,90
1/24/2008,1,86
1/24/2008,2,83
1/24/2008,3,82
1/24/2008,4,88
1/24/2008,5,98
1/24/2008,6,110
1/24/2008,7,125
1/24/2008,8,138
1/24/2008,9,148
1/24/2008,10,151
1/24/2008,11,153
1/24/2008,12,150
1/24/2008,13,144
1/24/2008,14,138
1/24/2008,15,133
1/24/2008,16,128
1/24/2008,17,123
1/24/2008,18,118
1/24/2008,19,113
1/24/2008,20,108
1/24/2008,21,103
1/24/2008,22,98
1/24/2008,23,93
1/25/2008,0,88.5
1/25/2008,1,84
1/25/2008,2,80
1/25/2008,3,77
1/25/2008,4,74
1/25/2008,5,79
1/25/2008,6,91
1/25/2008,7,107
1/25/2008,8,120
1/25/2008,9,129
1/25/2008,10,138
1/25/2008,11,142
1/25/2008,12,144
1/25/2008,13,141
1/25/2008,14,136
1/25/2008,15,130
1/25/2008,16,123
1/25/2008,17,118
1/25/2008,18,113
1/25/2008,19,108
1/25/2008,20,104
1/25/2008,21,100
1/25/2008,22,96
1/25/2008,23,91
1/26/2008,0,86.5
1/26/2008,1,82
1/26/2008,2,78
1/26/2008,3,75
1/26/2008,4,72
1/26/2008,5,73
1/26/2008,6,84
1/26/2008,7,99
1/26/2008,8,112
1/26/2008,9,123
1/26/2008,10,129
1/26/2008,11,133
1/26/2008,12,135
1/26/2008,13,133
1/26/2008,14,130
1/26/2008,15,126
1/26/2008,16,122
1/26/2008,17,117
1/26/2008,18,113
1/26/2008,19,109
1/26/2008,20,105
1/26/2008,21,102
1/26/2008,22,98
1/26/2008,23,94
1/27/2008,0,90
1/27/2008,1,86
1/27/2008,2,83
1/27/2008,3,80
1/27/2008,4,77
1/27/2008,5,76
1/27/2008,6,78
1/27/2008,7,84
1/27/2008,8,92
1/27/2008,9,102
1/27/2008,10,111
1/27/2008,11,117
1/27/2008,12,118
1/27/2008,13,118
1/27/2008,14,117
1/27/2008,15,116
1/27/2008,16,114
1/27/2008,17,112
1/27/2008,18,110
1/27/2008,19,108
1/27/2008,20,105
1/27/2008,21,102
1/27/2008,22,99
1/27/2008,23,96
1/28/2008,0,93
1/28/2008,1,90
1/28/2008,2,87
1/28/2008,3,85
1/28/2008,4,82
1/28/2008,5,80
1/28/2008,6,82
1/28/2008,7,87
1/28/2008,8,96
1/28/2008,9,102
1/28/2008,10,107
1/28/2008,11,108
1/28/2008,12,108
1/28/2008,13,105
1/28/2008,14,103
1/28/2008,15,101
1/28/2008,16,99
1/28/2008,17,97
1/28/2008,18,95
1/28/2008,19,93
1/28/2008,20,90
1/28/2008,21,87
1/28/2008,22,84
1/28/2008,23,81
1/29/2008,0,77.5
1/29/2008,1,74
1/29/2008,2,70
1/29/2008,3,67
1/29/2008,4,64
1/29/2008,5,61
1/29/2008,6,59
1/29/2008,7,62
1/29/2008,8,66
1/29/2008,9,68
1/29/2008,10,68
1/29/2008,11,67
1/29/2008,12,65
1/29/2008,13,62
1/29/2008,14,60
1/29/2008,15,58
1/29/2008,16,56
1/29/2008,17,54
1/29/2008,18,53
1/29/2008,19,53
1/29/2008,20,54
1/29/2008,21,55
1/29/2008,22,56
1/29/2008,23,56
1/30/2008,0,54.5
1/30/2008,1,53
1/30/2008,2,50
1/30/2008,3,48
1/30/2008,4,46
1/30/2008,5,45
1/30/2008,6,47
1/30/2008,7,50
1/30/2008,8,51
1/30/2008,9,52
1/30/2008,10,50
1/30/2008,11,47
1/30/2008,12,44
1/30/2008,13,41
1/30/2008,14,38
1/30/2008,15,34
1/30/2008,16,31
1/30/2008,17,28
1/30/2008,18,27
1/30/2008,19,26
1/30/2008,20,28
1/30/2008,21,34
1/30/2008,22,43
1/30/2008,23,48
1/31/2008,0,48.5
1/31/2008,1,49
1/31/2008,2,49
1/31/2008,3,48
1/31/2008,4,48
1/31/2008,5,47
1/31/2008,6,47
1/31/2008,7,46
1/31/2008,8,46
1/31/2008,9,45
1/31/2008,10,43
1/31/2008,11,41
1/31/2008,12,38
1/31/2008,13,35
1/31/2008,14,32
1/31/2008,15,30
1/31/2008,16,28
1/31/2008,17,26
1/31/2008,18,24
1/31/2008,19,23
1/31/2008,20,23
1/31/2008,21,29
1/31/2008,22,39
1/31/2008,23,50
02/01/2008,0,62
02/01/2008,1,74
02/01/2008,2,81
02/01/2008,3,86
02/01/2008,4,87
02/01/2008,5,88
02/01/2008,6,89
02/01/2008,7,90
02/01/2008,8,87
02/01/2008,9,83
02/01/2008,10,79
02/01/2008,11,75
02/01/2008,12,71
02/01/2008,13,66
02/01/2008,14,62
02/01/2008,15,58
02/01/2008,16,54
02/01/2008,17,50
02/01/2008,18,47
02/01/2008,19,45
02/01/2008,20,43
02/01/2008,21,42
02/01/2008,22,46
02/01/2008,23,53
02/02/2008,0,67
02/02/2008,1,81
02/02/2008,2,90
02/02/2008,3,96
02/02/2008,4,101
02/02/2008,5,106
02/02/2008,6,110
02/02/2008,7,110
02/02/2008,8,108
02/02/2008,9,103
02/02/2008,10,99
02/02/2008,11,95
02/02/2008,12,91
02/02/2008,13,86
02/02/2008,14,82
02/02/2008,15,78
02/02/2008,16,75
02/02/2008,17,71
02/02/2008,18,68
02/02/2008,19,65
02/02/2008,20,62
02/02/2008,21,60
02/02/2008,22,58
02/02/2008,23,59
02/03/2008,0,71
02/03/2008,1,83
02/03/2008,2,97
02/03/2008,3,110
02/03/2008,4,119
02/03/2008,5,126
02/03/2008,6,132
02/03/2008,7,134
02/03/2008,8,133
02/03/2008,9,128
02/03/2008,10,123
02/03/2008,11,119
02/03/2008,12,115
02/03/2008,13,111
02/03/2008,14,108
02/03/2008,15,104
02/03/2008,16,99
02/03/2008,17,94
02/03/2008,18,89
02/03/2008,19,85
02/03/2008,20,82
02/03/2008,21,80
02/03/2008,22,78
02/03/2008,23,77
02/04/2008,0,87
02/04/2008,1,97
02/04/2008,2,110
02/04/2008,3,120
02/04/2008,4,127
02/04/2008,5,134
02/04/2008,6,140
02/04/2008,7,144
02/04/2008,8,146
02/04/2008,9,145
02/04/2008,10,142
02/04/2008,11,138
02/04/2008,12,134
02/04/2008,13,131
02/04/2008,14,127
02/04/2008,15,123
02/04/2008,16,119
02/04/2008,17,116
02/04/2008,18,113
02/04/2008,19,110
02/04/2008,20,107
02/04/2008,21,104
02/04/2008,22,102
02/04/2008,23,100
02/05/2008,0,103
02/05/2008,1,106
02/05/2008,2,117
02/05/2008,3,130
02/05/2008,4,141
02/05/2008,5,150
02/05/2008,6,158
02/05/2008,7,162
02/05/2008,8,164
02/05/2008,9,160
02/05/2008,10,157
02/05/2008,11,153
02/05/2008,12,149
02/05/2008,13,145
02/05/2008,14,140
02/05/2008,15,135
02/05/2008,16,130
02/05/2008,17,126
02/05/2008,18,121
02/05/2008,19,117
02/05/2008,20,113
02/05/2008,21,110
02/05/2008,22,107
02/05/2008,23,104
02/06/2008,0,102.5
02/06/2008,1,101
02/06/2008,2,105
02/06/2008,3,112
02/06/2008,4,120
02/06/2008,5,128
02/06/2008,6,134
02/06/2008,7,143
02/06/2008,8,150
02/06/2008,9,152
02/06/2008,10,148
02/06/2008,11,143
02/06/2008,12,138
02/06/2008,13,133
02/06/2008,14,128
02/06/2008,15,123
02/06/2008,16,118
02/06/2008,17,112
02/06/2008,18,106
02/06/2008,19,99
02/06/2008,20,93
02/06/2008,21,87
02/06/2008,22,82
02/06/2008,23,78
02/07/2008,0,74
02/07/2008,1,70
02/07/2008,2,67
02/07/2008,3,72
02/07/2008,4,85
02/07/2008,5,101
02/07/2008,6,117
02/07/2008,7,129
02/07/2008,8,139
02/07/2008,9,146
02/07/2008,10,146
02/07/2008,11,142
02/07/2008,12,134
02/07/2008,13,128
02/07/2008,14,122
02/07/2008,15,117
02/07/2008,16,111
02/07/2008,17,105
02/07/2008,18,98
02/07/2008,19,92
02/07/2008,20,87
02/07/2008,21,82
02/07/2008,22,77
02/07/2008,23,72
02/08/2008,0,68
02/08/2008,1,64
02/08/2008,2,60
02/08/2008,3,59
02/08/2008,4,67
02/08/2008,5,81
02/08/2008,6,99
02/08/2008,7,113
02/08/2008,8,124
02/08/2008,9,131
02/08/2008,10,135
02/08/2008,11,134
02/08/2008,12,130
02/08/2008,13,123
02/08/2008,14,117
02/08/2008,15,112
02/08/2008,16,106
02/08/2008,17,99
02/08/2008,18,92
02/08/2008,19,86
02/08/2008,20,80
02/08/2008,21,74
02/08/2008,22,68
02/08/2008,23,62
02/09/2008,0,57
02/09/2008,1,52
02/09/2008,2,49
02/09/2008,3,47
02/09/2008,4,45
02/09/2008,5,52
02/09/2008,6,66
02/09/2008,7,84
02/09/2008,8,95
02/09/2008,9,104
02/09/2008,10,111
02/09/2008,11,113
02/09/2008,12,111
02/09/2008,13,107
02/09/2008,14,100
02/09/2008,15,94
02/09/2008,16,89
02/09/2008,17,83
02/09/2008,18,78
02/09/2008,19,73
02/09/2008,20,67
02/09/2008,21,61
02/09/2008,22,55
02/09/2008,23,50
02/10/2008,0,45
02/10/2008,1,40
02/10/2008,2,35
02/10/2008,3,34
02/10/2008,4,33
02/10/2008,5,43
02/10/2008,6,55
02/10/2008,7,69
02/10/2008,8,80
02/10/2008,9,88
02/10/2008,10,95
02/10/2008,11,99
02/10/2008,12,102
02/10/2008,13,100
02/10/2008,14,94
02/10/2008,15,88
02/10/2008,16,83
02/10/2008,17,78
02/10/2008,18,73
02/10/2008,19,68
02/10/2008,20,63
02/10/2008,21,58
02/10/2008,22,52
02/10/2008,23,47
02/11/2008,0,42
02/11/2008,1,37
02/11/2008,2,32
02/11/2008,3,27
02/11/2008,4,24
02/11/2008,5,21
02/11/2008,6,28
02/11/2008,7,41
02/11/2008,8,54
02/11/2008,9,63
02/11/2008,10,68
02/11/2008,11,67
02/11/2008,12,72
02/11/2008,13,76
02/11/2008,14,75
02/11/2008,15,72
02/11/2008,16,69
02/11/2008,17,66
02/11/2008,18,62
02/11/2008,19,58
02/11/2008,20,54
02/11/2008,21,50
02/11/2008,22,46
02/11/2008,23,41
02/12/2008,0,35
02/12/2008,1,29
02/12/2008,2,25
02/12/2008,3,21
02/12/2008,4,17
02/12/2008,5,12
02/12/2008,6,12
02/12/2008,7,18
02/12/2008,8,26
02/12/2008,9,33
02/12/2008,10,31
02/12/2008,11,28
02/12/2008,12,25
02/12/2008,13,23
02/12/2008,14,22
02/12/2008,15,22
02/12/2008,16,21
02/12/2008,17,24
02/12/2008,18,30
02/12/2008,19,39
02/12/2008,20,43
02/12/2008,21,45
02/12/2008,22,43
02/12/2008,23,39
2/13/2008,0,35
2/13/2008,1,31
2/13/2008,2,27
2/13/2008,3,23
2/13/2008,4,19
2/13/2008,5,19
2/13/2008,6,19
2/13/2008,7,19
2/13/2008,8,21
2/13/2008,9,22
2/13/2008,10,19
2/13/2008,11,15
2/13/2008,12,13
2/13/2008,13,10
2/13/2008,14,7
2/13/2008,15,4
2/13/2008,16,3
2/13/2008,17,8
2/13/2008,18,18
2/13/2008,19,34
2/13/2008,20,46
2/13/2008,21,55
2/13/2008,22,61
2/13/2008,23,65
2/14/2008,0,64
2/14/2008,1,63
2/14/2008,2,60
2/14/2008,3,57
2/14/2008,4,54
2/14/2008,5,51
2/14/2008,6,48
2/14/2008,7,46
2/14/2008,8,43
2/14/2008,9,39
2/14/2008,10,35
2/14/2008,11,30
2/14/2008,12,25
2/14/2008,13,21
2/14/2008,14,17
2/14/2008,15,13
2/14/2008,16,9
2/14/2008,17,6
2/14/2008,18,4
2/14/2008,19,8
2/14/2008,20,19
2/14/2008,21,37
2/14/2008,22,49
2/14/2008,23,59
2/15/2008,0,67.5
2/15/2008,1,76
2/15/2008,2,83
2/15/2008,3,87
2/15/2008,4,85
2/15/2008,5,82
2/15/2008,6,79
2/15/2008,7,77
2/15/2008,8,73
2/15/2008,9,67
2/15/2008,10,61
2/15/2008,11,55
2/15/2008,12,50
2/15/2008,13,45
2/15/2008,14,40
2/15/2008,15,35
2/15/2008,16,30
2/15/2008,17,25
2/15/2008,18,21
2/15/2008,19,17
2/15/2008,20,16
2/15/2008,21,25
2/15/2008,22,39
2/15/2008,23,54
2/16/2008,0,64.5
2/16/2008,1,75
2/16/2008,2,85
2/16/2008,3,94
2/16/2008,4,103
2/16/2008,5,107
2/16/2008,6,106
2/16/2008,7,102
2/16/2008,8,96
2/16/2008,9,89
2/16/2008,10,83
2/16/2008,11,78
2/16/2008,12,71
2/16/2008,13,65
2/16/2008,14,59
2/16/2008,15,53
2/16/2008,16,47
2/16/2008,17,42
2/16/2008,18,37
2/16/2008,19,33
2/16/2008,20,29
2/16/2008,21,26
2/16/2008,22,30
2/16/2008,23,41
2/17/2008,0,55.5
2/17/2008,1,70
2/17/2008,2,82
2/17/2008,3,93
2/17/2008,4,103
2/17/2008,5,112
2/17/2008,6,116
2/17/2008,7,115
2/17/2008,8,109
2/17/2008,9,102
2/17/2008,10,95
2/17/2008,11,89
2/17/2008,12,83
2/17/2008,13,76
2/17/2008,14,69
2/17/2008,15,62
2/17/2008,16,56
2/17/2008,17,50
2/17/2008,18,45
2/17/2008,19,41
2/17/2008,20,36
2/17/2008,21,32
2/17/2008,22,28
2/17/2008,23,28
2/18/2008,0,38.5
2/18/2008,1,49
2/18/2008,2,68
2/18/2008,3,81
2/18/2008,4,94
2/18/2008,5,103
2/18/2008,6,112
2/18/2008,7,119
2/18/2008,8,119
2/18/2008,9,114
2/18/2008,10,106
2/18/2008,11,99
2/18/2008,12,92
2/18/2008,13,85
2/18/2008,14,78
2/18/2008,15,71
2/18/2008,16,64
2/18/2008,17,57
2/18/2008,18,49
2/18/2008,19,43
2/18/2008,20,39
2/18/2008,21,35
2/18/2008,22,32
2/18/2008,23,30
2/19/2008,0,35.5
2/19/2008,1,41
2/19/2008,2,54
2/19/2008,3,67
2/19/2008,4,82
2/19/2008,5,94
2/19/2008,6,104
2/19/2008,7,110
2/19/2008,8,113
2/19/2008,9,113
2/19/2008,10,107
2/19/2008,11,101
2/19/2008,12,95
2/19/2008,13,88
2/19/2008,14,83
2/19/2008,15,77
2/19/2008,16,71
2/19/2008,17,65
2/19/2008,18,59
2/19/2008,19,54
2/19/2008,20,49
2/19/2008,21,44
2/19/2008,22,40
2/19/2008,23,35
2/20/2008,0,31.5
2/20/2008,1,28
2/20/2008,2,35
2/20/2008,3,50
2/20/2008,4,67
2/20/2008,5,82
2/20/2008,6,96
2/20/2008,7,108
2/20/2008,8,119
2/20/2008,9,124
2/20/2008,10,124
2/20/2008,11,119
2/20/2008,12,113
2/20/2008,13,107
2/20/2008,14,102
2/20/2008,15,97
2/20/2008,16,92
2/20/2008,17,86
2/20/2008,18,80
2/20/2008,19,74
2/20/2008,20,69
2/20/2008,21,64
2/20/2008,22,60
2/20/2008,23,56
2/21/2008,0,52.5
2/21/2008,1,49
2/21/2008,2,48
2/21/2008,3,53
2/21/2008,4,66
2/21/2008,5,84
2/21/2008,6,100
2/21/2008,7,114
2/21/2008,8,124
2/21/2008,9,132
2/21/2008,10,134
2/21/2008,11,129
2/21/2008,12,126
2/21/2008,13,119
2/21/2008,14,113
2/21/2008,15,108
2/21/2008,16,104
2/21/2008,17,100
2/21/2008,18,96
2/21/2008,19,90
2/21/2008,20,84
2/21/2008,21,79
2/21/2008,22,74
2/21/2008,23,69
2/22/2008,0,64.5
2/22/2008,1,60
2/22/2008,2,56
2/22/2008,3,53
2/22/2008,4,55
2/22/2008,5,70
2/22/2008,6,88
2/22/2008,7,101
2/22/2008,8,110
2/22/2008,9,115
2/22/2008,10,119
2/22/2008,11,119
2/22/2008,12,116
2/22/2008,13,112
2/22/2008,14,108
2/22/2008,15,103
2/22/2008,16,98
2/22/2008,17,93
